,mSA,iou_threshold,projection,box_extension
0,0.04280595162067134,0.5,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.0
1,0.08440929071463193,0.5,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.025
2,0.011936872309899569,0.5,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.05
3,0.005910364145658263,0.5,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.075
4,0.001176470588235294,0.5,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.1
5,0.002352941176470588,0.5,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.125
6,0.0,0.5,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.15
7,0.0,0.5,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.175
8,0.0,0.5,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.2
9,0.0,0.5,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.225
10,0.0,0.5,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.25
11,0.0,0.5,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.0
12,0.0,0.5,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.025
13,0.0,0.5,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.05
14,0.0,0.5,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.075
15,0.0,0.5,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.1
16,0.0,0.5,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.125
17,0.0,0.5,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.15
18,0.0,0.5,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.175
19,0.0,0.5,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.2
20,0.0,0.5,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.225
21,0.0,0.5,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.25
22,0.09161485103285716,0.5,"{'use_box': False, 'use_mask': False, 'use_points': True}",0.0
