,mSA,iou_threshold,projection,box_extension
60,0.10324398027863921,0.5,"{'use_box': False, 'use_mask': True, 'use_points': True}",0.125
61,0.10654764517679335,0.5,"{'use_box': False, 'use_mask': True, 'use_points': True}",0.15
62,0.11998247979135349,0.5,"{'use_box': False, 'use_mask': True, 'use_points': True}",0.175
63,0.10823837273837275,0.5,"{'use_box': False, 'use_mask': True, 'use_points': True}",0.2
64,0.10243164628949315,0.5,"{'use_box': False, 'use_mask': True, 'use_points': True}",0.225
65,0.0918671188149369,0.5,"{'use_box': False, 'use_mask': True, 'use_points': True}",0.25
66,0.003614457831325301,0.5,"{'use_box': True, 'use_mask': True, 'use_points': True}",0.0
67,0.005910364145658263,0.5,"{'use_box': True, 'use_mask': True, 'use_points': True}",0.025
68,0.0,0.5,"{'use_box': True, 'use_mask': True, 'use_points': True}",0.05
69,0.0,0.5,"{'use_box': True, 'use_mask': True, 'use_points': True}",0.075
70,0.0012195121951219512,0.5,"{'use_box': True, 'use_mask': True, 'use_points': True}",0.1
71,0.0012345679012345679,0.5,"{'use_box': True, 'use_mask': True, 'use_points': True}",0.125
72,0.0011904761904761904,0.5,"{'use_box': True, 'use_mask': True, 'use_points': True}",0.15
73,0.0012048192771084338,0.5,"{'use_box': True, 'use_mask': True, 'use_points': True}",0.175
74,0.0012345679012345679,0.5,"{'use_box': True, 'use_mask': True, 'use_points': True}",0.2
75,0.0012345679012345679,0.5,"{'use_box': True, 'use_mask': True, 'use_points': True}",0.225
76,0.0025974025974025974,0.5,"{'use_box': True, 'use_mask': True, 'use_points': True}",0.25
77,0.3367511310041468,0.5,single_point,0.0
78,0.3367511310041468,0.5,single_point,0.025
79,0.33090703333083454,0.5,single_point,0.05
80,0.328774096822898,0.5,single_point,0.075
81,0.328774096822898,0.5,single_point,0.1
82,0.328774096822898,0.5,single_point,0.125
83,0.328774096822898,0.5,single_point,0.15
84,0.328774096822898,0.5,single_point,0.175
85,0.328774096822898,0.5,single_point,0.2
86,0.328774096822898,0.5,single_point,0.225
87,0.328774096822898,0.5,single_point,0.25
88,0.02885728888836009,0.6,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.0
89,0.06477111677775838,0.6,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.025
90,0.02932032573873205,0.6,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.05
91,0.02310081786766142,0.6,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.075
92,0.02316438741232608,0.6,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.1
93,0.018074363450934296,0.6,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.125
94,0.008376362593230064,0.6,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.15
95,0.003614457831325301,0.6,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.175
96,0.0023809523809523807,0.6,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.2
97,0.0023809523809523807,0.6,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.225
98,0.0023809523809523807,0.6,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.25
99,0.0023809523809523807,0.6,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.0
100,0.0023809523809523807,0.6,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.025
101,0.0023809523809523807,0.6,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.05
102,0.0023809523809523807,0.6,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.075
103,0.0023809523809523807,0.6,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.1
104,0.0023809523809523807,0.6,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.125
105,0.0023809523809523807,0.6,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.15
106,0.0023809523809523807,0.6,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.175
107,0.0023809523809523807,0.6,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.2
108,0.0023809523809523807,0.6,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.225
109,0.0023809523809523807,0.6,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.25
110,0.09558156359896368,0.6,"{'use_box': False, 'use_mask': False, 'use_points': True}",0.0
111,0.3322227943709094,0.6,"{'use_box': False, 'use_mask': False, 'use_points': True}",0.025
112,0.3363735368093619,0.6,"{'use_box': False, 'use_mask': False, 'use_points': True}",0.05
113,0.3259829532944047,0.6,"{'use_box': False, 'use_mask': False, 'use_points': True}",0.075
114,0.30575730109228744,0.6,"{'use_box': False, 'use_mask': False, 'use_points': True}",0.1
115,0.2887455549283643,0.6,"{'use_box': False, 'use_mask': False, 'use_points': True}",0.125
116,0.26940465404320646,0.6,"{'use_box': False, 'use_mask': False, 'use_points': True}",0.15
117,0.24223826620738148,0.6,"{'use_box': False, 'use_mask': False, 'use_points': True}",0.175
118,0.21534322912551337,0.6,"{'use_box': False, 'use_mask': False, 'use_points': True}",0.2
119,0.22205347293390715,0.6,"{'use_box': False, 'use_mask': False, 'use_points': True}",0.225
120,0.21145184124812416,0.6,"{'use_box': False, 'use_mask': False, 'use_points': True}",0.25
121,0.05106858528321845,0.6,"{'use_box': True, 'use_mask': True, 'use_points': False}",0.0
122,0.036230701400021735,0.6,"{'use_box': True, 'use_mask': True, 'use_points': False}",0.025
123,0.008320340184266476,0.6,"{'use_box': True, 'use_mask': True, 'use_points': False}",0.05
124,0.0012195121951219512,0.6,"{'use_box': True, 'use_mask': True, 'use_points': False}",0.075
125,0.0,0.6,"{'use_box': True, 'use_mask': True, 'use_points': False}",0.1
126,0.0012195121951219512,0.6,"{'use_box': True, 'use_mask': True, 'use_points': False}",0.125
