iteration,msa,sa50,sa75,lr,optimizer
0,0.4442444979852087,0.765080150506396,0.4635883088346654,0.0001,adamw
1,0.5346102692666572,0.8504848034224125,0.5799675161147694,0.0001,adamw
2,0.6038197100675899,0.8983818691695872,0.6725855237612389,0.0001,adamw
3,0.6577511550964722,0.9217735854616268,0.7490507495430972,0.0001,adamw
4,0.6982940142175693,0.9326087435806746,0.8043966487921835,0.0001,adamw
5,0.728931311212118,0.937585283395944,0.8414129144055701,0.0001,adamw
6,0.7519013188987139,0.939869853979197,0.8648633613526824,0.0001,adamw
7,0.7697004946358658,0.9409253636059846,0.8794666139728156,0.0001,adamw
0,0.4365509464254498,0.7603053101892089,0.4520463995097363,0.0001,adam
1,0.5211027420438193,0.8450262798176528,0.5603809294074492,0.0001,adam
2,0.5882063062516997,0.8930126173251972,0.6513718860779754,0.0001,adam
3,0.6423402410204456,0.9192223978050322,0.7284495684729584,0.0001,adam
4,0.6829034272939627,0.931452371197469,0.7855903804187947,0.0001,adam
5,0.7136832686966204,0.9369216404555644,0.8263316244914266,0.0001,adam
6,0.7374225448111233,0.9394694137129442,0.8522888876034527,0.0001,adam
7,0.756730769516175,0.940625339108342,0.8703159971630002,0.0001,adam
0,0.4458376490614893,0.769355633009424,0.4628223290700072,5e-05,adamw
1,0.5315860275660746,0.8497736396689725,0.5748035937104193,5e-05,adamw
2,0.597575431851799,0.89567520420362,0.663855443033289,5e-05,adamw
3,0.6487044746084213,0.9199952395639628,0.7348657442566895,5e-05,adamw
4,0.6878960774860357,0.9312564195126928,0.7888292760156919,5e-05,adamw
5,0.7180410926783372,0.9366609225020752,0.8288037842252621,5e-05,adamw
6,0.7418346247083648,0.939266971865798,0.8549828808523541,5e-05,adamw
7,0.7608612000820577,0.940726030912954,0.8724168971826068,5e-05,adamw
0,0.4496126116535952,0.7665858873513299,0.4710399433904633,5e-05,adam
1,0.5400545571739874,0.8557167288527008,0.5878085793695997,5e-05,adam
2,0.6050104662882229,0.9005952733942261,0.6731693937255302,5e-05,adam
3,0.6560871672033388,0.9229149338987234,0.7466414046747823,5e-05,adam
4,0.6947995774291822,0.9329927110440036,0.7993370200967119,5e-05,adam
5,0.7240416510606328,0.9373282725445254,0.8355999802739158,5e-05,adam
6,0.7471523316754464,0.9397029326070376,0.8597248106291641,5e-05,adam
7,0.765302275656361,0.9411843765399034,0.8755114948138766,5e-05,adam
0,0.4550396093389318,0.7683036693919698,0.4811381244356138,1e-05,adam
1,0.5425565813979283,0.8545160814243961,0.5923043818373159,1e-05,adam
2,0.6080285408813881,0.9008264733787824,0.6802376436904518,1e-05,adam
3,0.6573935252893931,0.9230368629631176,0.7488298719724371,1e-05,adam
4,0.6943988855803085,0.9325212283194154,0.7993304872634245,1e-05,adam
5,0.7224727687882253,0.9372019994048588,0.8338600475743464,1e-05,adam
6,0.7442705969566532,0.9394160237582242,0.856329425538881,1e-05,adam
7,0.7616429717215686,0.9407739940032536,0.8723279565663911,1e-05,adam
0,0.4509210594162511,0.7680531417624825,0.4742571402832168,5e-06,adamw
1,0.5312996759589946,0.8470419598639717,0.5758700461940505,5e-06,adamw
2,0.5973404887535401,0.8966397607994945,0.6641051556543702,5e-06,adamw
3,0.6461639745557557,0.9201058929851952,0.7325199908522818,5e-06,adamw
4,0.6836796282200983,0.9310070458044318,0.7862103922944258,5e-06,adamw
5,0.7121632566581099,0.9358509834602978,0.8236486638891108,5e-06,adamw
6,0.734424477354582,0.9383945124812209,0.8492578155182996,5e-06,adamw
7,0.7515432933856016,0.9400386366330148,0.8653372809328111,5e-06,adamw
0,0.4519036251758849,0.76746152286216,0.4756969152056554,5e-06,adam
1,0.5360413639264966,0.8514701541579675,0.5818832227449263,5e-06,adam
2,0.6019645000404082,0.8998139657350948,0.670305499524537,5e-06,adam
3,0.6513532194337835,0.9225414234395544,0.7394698856061667,5e-06,adam
4,0.6885585267138696,0.9323747677671224,0.7915803692569346,5e-06,adam
5,0.7168447569124616,0.9368281401033902,0.8280741876494953,5e-06,adam
6,0.7391744399743948,0.9391084726296562,0.8541681993595861,5e-06,adam
7,0.7563568439545197,0.9402589295625025,0.8696610354124726,5e-06,adam
