,mSA,iou_threshold,projection,box_extension
65,0.0003787878787878788,0.5,"{'use_box': False, 'use_mask': True, 'use_points': True}",0.25
66,0.0,0.5,"{'use_box': True, 'use_mask': True, 'use_points': True}",0.0
67,0.0,0.5,"{'use_box': True, 'use_mask': True, 'use_points': True}",0.025
68,0.0,0.5,"{'use_box': True, 'use_mask': True, 'use_points': True}",0.05
69,0.0,0.5,"{'use_box': True, 'use_mask': True, 'use_points': True}",0.075
70,0.0,0.5,"{'use_box': True, 'use_mask': True, 'use_points': True}",0.1
71,0.0,0.5,"{'use_box': True, 'use_mask': True, 'use_points': True}",0.125
72,0.0,0.5,"{'use_box': True, 'use_mask': True, 'use_points': True}",0.15
73,0.0,0.5,"{'use_box': True, 'use_mask': True, 'use_points': True}",0.175
74,0.0,0.5,"{'use_box': True, 'use_mask': True, 'use_points': True}",0.2
75,0.0,0.5,"{'use_box': True, 'use_mask': True, 'use_points': True}",0.225
76,0.0,0.5,"{'use_box': True, 'use_mask': True, 'use_points': True}",0.25
77,0.0003846153846153846,0.5,single_point,0.0
78,0.0003846153846153846,0.5,single_point,0.025
79,0.0003846153846153846,0.5,single_point,0.05
80,0.0003846153846153846,0.5,single_point,0.075
81,0.0003846153846153846,0.5,single_point,0.1
82,0.0003846153846153846,0.5,single_point,0.125
83,0.0003846153846153846,0.5,single_point,0.15
84,0.0003846153846153846,0.5,single_point,0.175
85,0.0003846153846153846,0.5,single_point,0.2
86,0.0003846153846153846,0.5,single_point,0.225
87,0.0003846153846153846,0.5,single_point,0.25
88,0.0,0.6,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.0
89,0.001918689675343668,0.6,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.025
90,0.001963908207972058,0.6,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.05
91,0.0,0.6,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.075
92,0.0,0.6,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.1
93,0.0,0.6,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.125
94,0.0,0.6,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.15
95,0.0,0.6,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.175
96,0.0,0.6,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.2
97,0.0,0.6,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.225
98,0.0,0.6,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.25
99,0.0046305561786289355,0.6,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.0
100,0.0046305561786289355,0.6,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.025
101,0.0046305561786289355,0.6,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.05
102,0.0046305561786289355,0.6,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.075
103,0.0046305561786289355,0.6,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.1
104,0.0046305561786289355,0.6,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.125
105,0.0046305561786289355,0.6,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.15
106,0.0046305561786289355,0.6,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.175
107,0.0046305561786289355,0.6,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.2
108,0.0046305561786289355,0.6,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.225
109,0.0046305561786289355,0.6,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.25
110,0.0,0.6,"{'use_box': False, 'use_mask': False, 'use_points': True}",0.0
111,0.0,0.6,"{'use_box': False, 'use_mask': False, 'use_points': True}",0.025
112,0.0,0.6,"{'use_box': False, 'use_mask': False, 'use_points': True}",0.05
113,0.0,0.6,"{'use_box': False, 'use_mask': False, 'use_points': True}",0.075
114,0.0,0.6,"{'use_box': False, 'use_mask': False, 'use_points': True}",0.1
115,0.0,0.6,"{'use_box': False, 'use_mask': False, 'use_points': True}",0.125
116,0.0003891050583657588,0.6,"{'use_box': False, 'use_mask': False, 'use_points': True}",0.15
117,0.0003861003861003861,0.6,"{'use_box': False, 'use_mask': False, 'use_points': True}",0.175
118,0.0,0.6,"{'use_box': False, 'use_mask': False, 'use_points': True}",0.2
119,0.0,0.6,"{'use_box': False, 'use_mask': False, 'use_points': True}",0.225
120,0.0007751937984496124,0.6,"{'use_box': False, 'use_mask': False, 'use_points': True}",0.25
121,0.0,0.6,"{'use_box': True, 'use_mask': True, 'use_points': False}",0.0
122,0.0,0.6,"{'use_box': True, 'use_mask': True, 'use_points': False}",0.025
123,0.0,0.6,"{'use_box': True, 'use_mask': True, 'use_points': False}",0.05
124,0.0,0.6,"{'use_box': True, 'use_mask': True, 'use_points': False}",0.075
125,0.0,0.6,"{'use_box': True, 'use_mask': True, 'use_points': False}",0.1
126,0.0,0.6,"{'use_box': True, 'use_mask': True, 'use_points': False}",0.125
127,0.0,0.6,"{'use_box': True, 'use_mask': True, 'use_points': False}",0.15
128,0.0,0.6,"{'use_box': True, 'use_mask': True, 'use_points': False}",0.175
129,0.0,0.6,"{'use_box': True, 'use_mask': True, 'use_points': False}",0.2
130,0.0,0.6,"{'use_box': True, 'use_mask': True, 'use_points': False}",0.225
131,0.0,0.6,"{'use_box': True, 'use_mask': True, 'use_points': False}",0.25
132,0.0,0.6,"{'use_box': True, 'use_mask': False, 'use_points': True}",0.0
133,0.0,0.6,"{'use_box': True, 'use_mask': False, 'use_points': True}",0.025
134,0.0,0.6,"{'use_box': True, 'use_mask': False, 'use_points': True}",0.05
135,0.0,0.6,"{'use_box': True, 'use_mask': False, 'use_points': True}",0.075
136,0.0,0.6,"{'use_box': True, 'use_mask': False, 'use_points': True}",0.1
137,0.0,0.6,"{'use_box': True, 'use_mask': False, 'use_points': True}",0.125
138,0.0,0.6,"{'use_box': True, 'use_mask': False, 'use_points': True}",0.15
139,0.0,0.6,"{'use_box': True, 'use_mask': False, 'use_points': True}",0.175
140,0.0,0.6,"{'use_box': True, 'use_mask': False, 'use_points': True}",0.2
141,0.001518032031340016,0.6,"{'use_box': True, 'use_mask': False, 'use_points': True}",0.225
142,0.003073975832596522,0.6,"{'use_box': True, 'use_mask': False, 'use_points': True}",0.25
143,0.0,0.6,"{'use_box': False, 'use_mask': True, 'use_points': True}",0.0
144,0.0,0.6,"{'use_box': False, 'use_mask': True, 'use_points': True}",0.025
145,0.0,0.6,"{'use_box': False, 'use_mask': True, 'use_points': True}",0.05
146,0.0,0.6,"{'use_box': False, 'use_mask': True, 'use_points': True}",0.075
147,0.0,0.6,"{'use_box': False, 'use_mask': True, 'use_points': True}",0.1
148,0.0,0.6,"{'use_box': False, 'use_mask': True, 'use_points': True}",0.125
149,0.0,0.6,"{'use_box': False, 'use_mask': True, 'use_points': True}",0.15
150,0.0,0.6,"{'use_box': False, 'use_mask': True, 'use_points': True}",0.175
151,0.0,0.6,"{'use_box': False, 'use_mask': True, 'use_points': True}",0.2
152,0.0,0.6,"{'use_box': False, 'use_mask': True, 'use_points': True}",0.225
153,0.0,0.6,"{'use_box': False, 'use_mask': True, 'use_points': True}",0.25
154,0.0,0.6,"{'use_box': True, 'use_mask': True, 'use_points': True}",0.0
155,0.0,0.6,"{'use_box': True, 'use_mask': True, 'use_points': True}",0.025
156,0.0,0.6,"{'use_box': True, 'use_mask': True, 'use_points': True}",0.05
157,0.0,0.6,"{'use_box': True, 'use_mask': True, 'use_points': True}",0.075
158,0.0,0.6,"{'use_box': True, 'use_mask': True, 'use_points': True}",0.1
159,0.0,0.6,"{'use_box': True, 'use_mask': True, 'use_points': True}",0.125
160,0.0,0.6,"{'use_box': True, 'use_mask': True, 'use_points': True}",0.15
161,0.0,0.6,"{'use_box': True, 'use_mask': True, 'use_points': True}",0.175
162,0.0,0.6,"{'use_box': True, 'use_mask': True, 'use_points': True}",0.2
163,0.0,0.6,"{'use_box': True, 'use_mask': True, 'use_points': True}",0.225
164,0.0,0.6,"{'use_box': True, 'use_mask': True, 'use_points': True}",0.25
165,0.0003846153846153846,0.6,single_point,0.0
166,0.0003846153846153846,0.6,single_point,0.025
167,0.0003846153846153846,0.6,single_point,0.05
168,0.0003846153846153846,0.6,single_point,0.075
169,0.0003846153846153846,0.6,single_point,0.1
170,0.0003846153846153846,0.6,single_point,0.125
171,0.0003846153846153846,0.6,single_point,0.15
172,0.0003846153846153846,0.6,single_point,0.175
173,0.0003846153846153846,0.6,single_point,0.2
174,0.0003846153846153846,0.6,single_point,0.225
175,0.0003846153846153846,0.6,single_point,0.25
176,0.0,0.7,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.0
177,0.0,0.7,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.025
178,0.0,0.7,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.05
179,0.0,0.7,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.075
180,0.0,0.7,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.1
181,0.0011494252873563218,0.7,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.125
182,0.0011450381679389313,0.7,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.15
183,0.0030505326096421214,0.7,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.175
184,0.0030622093533385977,0.7,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.2
185,0.003038944578868533,0.7,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.225
186,0.003038944578868533,0.7,"{'use_box': True, 'use_mask': False, 'use_points': False}",0.25
187,0.004185577308544126,0.7,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.0
188,0.004185577308544126,0.7,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.025
189,0.004185577308544126,0.7,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.05
190,0.004185577308544126,0.7,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.075
191,0.004185577308544126,0.7,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.1
192,0.004185577308544126,0.7,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.125
193,0.004185577308544126,0.7,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.15
194,0.004185577308544126,0.7,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.175
195,0.004185577308544126,0.7,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.2
196,0.004185577308544126,0.7,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.225
197,0.004185577308544126,0.7,"{'use_box': False, 'use_mask': True, 'use_points': False}",0.25
198,0.0011435869155080834,0.7,"{'use_box': False, 'use_mask': False, 'use_points': True}",0.0
